abo	 《オーストラリア英語》《俗・禁句》原住民(aborigine) 
sap	 〈U〉樹液 / 〈U〉活力,生気,元気 / 〈C〉《話》ばか,まぬけ 
sat	 sitの過去・過去分詞 
saw	 seeの過去 
sax	 =saxophone 
say	 《直接話法で》「…」‘と'『言う』,述べる;(人に)「…」‘と'言う《+『to』+『名』〈人〉》 / (意見として)…‘を'『言う』,述べる / 〈時計などが〉〈時刻など〉‘を'示している;〈本・新聞などが〉…‘と'言っている,述べている,書いている / 《しばしば受動態で》(世間などで)…‘と'言う,うわさする,伝える / 《命令形に用いて》かりに…‘と'すれば;たとえば,そうですねえ,まあ / …‘を'暗唱する,復唱する;〈祈りなど〉‘を'唱える / 《米話》…‘を'命じる / 『言う』,話す,断言する / 《米話》ねえ,おい　《one's say》言うべきこと,言い分 / 《時にa say》発言権 / 《the say》決定権 
sea	 《通例the~》《しばしば複数形で単数扱い》『海』,海洋 / 〈C〉《固有名詞につけるときはS-》(部分的に陸地に囲まれた)海,…海 / (波の状態から見た)海面,湖面,水面;(海・湖などの)波;大波,高波 / 〈U〉《the ~》船乗り(水兵)の仕事,海上生活 / 《a ~》大量(の…),たくさん(の…)《+『of』+『名』》 
ser	 serial / series / sermon 
set	 《場所を表す副詞[句]を伴って》(ある場所に)…‘を'『置く』・すえる・(ある物に)…‘を'『つける』・あてがう・当てる《+『名』+『to』+『名』》・(課題・模範として)…‘を'『課す』・出す・示す・〈宝石〉‘を'(…に)『はめ込む』《+『名』〈宝石〉+『in』+『名』》;(宝石で)…‘を'飾る《+『名』+『with』+『名』〈宝石〉》》 / …‘を'『向ける』,集中する・(…に)…‘を'『配置する』,部署につける・《+『名』+『at(around, on)』+『名』》・《『set』+『名』+『to』 do》・(仕事・課題として)〈人〉'に'(…)させる・(ある状態に)…‘を'『する』・〈機械・器具など〉‘を'『調節する』・〈時計・目盛りなど〉‘を'合わせる・〈日時・制限など〉‘を'『定める』・(…に)〈値段〉‘を'『つける』・〈評価〉‘を'与える《+『名』〈値〉+『on(for)』+『名』》・〈めん鳥〉‘に'卵を抱かせる・(卵を)〈めん鳥〉‘に'抱かせる《+『名』〈めん鳥〉+『on』+『名』〈卵〉》・〈卵〉‘を'めん鳥に抱かせる;(めん鳥に)〈卵〉‘を'卵かせる《+『名』〈卵〉+『under』+『名』〈めん鳥〉》・ / …‘を'固まらせる・固定する・…‘を'確立する,打ち立てる・〈髪〉‘を'セットする・(曲に)〈歌詞〉‘を'つける《+『名』〈歌詞〉+『to』+『名』〈曲〉》・(…用に)〈曲〉‘を'編曲する《+『名』〈曲〉+『for』+『名』》・〈活字〉‘を'組む・〈原稿〉‘を'活字に組む《+『up』+『名』》・〈刃物[の刃]〉‘を'とぐ・〈舞台・場面〉‘を'セットする・〈帆〉‘を'張る・〈猟犬が〉〈獲物〉‘の'位置を示す・〈太陽などが〉『沈む』,没する;傾く,衰える・固まる・固くなる・こわばる・硬直する・〈めん鳥が〉卵を抱く・《副詞[句]を伴って》〈髪が〉セットできる・《副詞[句]を伴って》(…に)〈服などが〉合う《+『on』+『名』》・〈果実などが〉実る・,実を結ぶ・《方向を表す副詞[句]を伴って》(ある方向に)向く・向かう・(ある方向から)吹く・流れる・〈猟犬が〉獲物の位置を示す・〈C〉(…の)『一組』,一式,セット《+『of』+『名』》・〈C〉『一群』・一連(の…)《+『of』+『名』》・〈C〉(…の)『仲間』,連中,一味,(特殊な)社会《+『of』+『名』》・〈C〉(テニスなどの)セット・〈C〉舞台装置・(映画などの)セット・〈U〉(…の)様子・格好・姿勢・(服などの)合いぐあい《+『of』+『名』》・〈U〉(風・潮などの)向き・方向・(考え・世論などの)傾向・すう勢《+『of』+『名』》・〈U〉《詩》日没・〈C〉さし木・若木・苗・〈C〉(ラジオの)受信機・(テレビの)受像機・〈C〉(数学で)集合・『定められた』・規定の・所定の・型にはまった・慣習的な・硬直した・こわばった・動かない・断固たる・固く決心した・《補語にのみ用いて》準備の完了した・用意して 
sew	 縫い物をする,ミシンをかける / 〈布など〉‘を'『縫う』;(…に)…‘を'縫いつける(込む)《+『名』+『on』(『in,into,inside』)+『名』》 / 〈衣服など〉‘を'縫って作る(直す) 
sex	 〈U〉〈C〉『性』,性別 / 《the~》《形容詞を伴い集合的に》『男性』,『女性』 / 〈U〉(男女(雌雄)間の)相違[の意識] / 〈U〉性に関する事柄(情報) / 〈U〉性交 / 〈ひよこなど〉‘の'性別を見分ける
she	 『彼女は』,『彼女が』 / 《月・船・汽車・都市・国などを指して》それは,それが / 女,婦人;(動物の)雌 
shy	 (人が)『恥ずかしがり屋の』,内気な;(態度などが)恥ずかしそうな,引っ込み思案の・(動物が)『おく病な』,びくびくする・《補語にのみ用いて》(…を)用心する,警戒する,ためらう,いやがる《+『of』+『名』(do『ing』)》・《補語にのみ用いて》《米語》(…が)足りない,欠けている(short)《+『of』+『名』》・(…に)〈馬が〉驚いて(おびえて)後ずさりする《+『at』+『名』》;(…から)しりごみする(…に)おじける《《+『away』『from』+『名』(do『ing』)》 
sic	 原文のまま(疑わしいまたは誤った原文をそのまま引用するときにつける) 
sin	 〈U〉(宗教・道徳上の)『罪』 / 〈C〉(宗教・道徳上の)『罪の行為』,罪悪 / 〈C〉《特におどけて》違反(過失)の行為 / (宗教・道徳上の)おきてを破る,罪を犯す / (…に)違反(過失)をする,背く《+『against』+『名』》 
sip	 …‘を'『ちびちび飲む』,すする / (…を)『ちびりちびり飲む』《+『at』+『名』》 / (…を)ちびりちびり飲むこと;(飲み物の)『一口』,一すすり《+『of』+『名』》 
sir	 《時にS-》《冠詞なしで》《男性の目上の人・見知らぬ人・店の客・上官・先生・議長などに対する敬った丁寧な呼び掛け語として》『あなた』,だんな,先生,(警官などが男性を呼び止めて)おい,君 / 《S-》〈U〉サー / 《しばしばS-》〈C〉《手紙の書き出しのあいさつに用いて》『拝啓』 
sit	 (…に)『座る』,座っている《+『at』(『on, in』)+『名』》・着席する《+『down』》・(…に)〈鳥などが〉『止まる』,休む《+『on』+『名』》・〈めんどりが〉卵を抱く,巣に就く / 《場所の副詞[句]を伴って》(ある場所に)『位置する』・ (画家・写真家のために)ポーズをとる・しっとしている,動かないでいる・(議員・委員などの)職に就いている《+『on』+『名』》・〈議会・法廷などが〉開会(開廷)される・(…に)負担となる,重荷となる《+『on』(『upon』)+『名』》・〈衣服などが〉(…に)合う,似合う《+『on』+『名』》・〈人〉‘を'座らせる,着席させる《+『down』+『名,』+『名』+『down』》・〈馬〉‘に'乗る・《英》〈試験〉‘を'受ける
six	 〈C〉(数の)『6』;6の記号(6,VIなど) / 〈U〉6時,6分;6歳 / 《複数扱い》6人,6個 / 〈C〉六つ(6人,6個)一組のもの / 〈C〉(カード・さいころなどの)6の札(目) / 『6の』,6人の,6個の / 《補語にのみ用いて》6歳の(で) 
ski	 『スキー』 / 『スキーで滑走する』 / …‘を'スキーで滑る / スキーの,スキー用の
sky	 『空』,上空 / 《しばしば複数形で》空模様,天候,気候 / 《しばしば複数形で》『天国』,天 / 〈ボール〉‘を'高く打ち上げる
sly	 『ずるい』,陰険な / 茶目っ気のある,いたずらっぽい
sob	 『すすり泣く』,むせび泣く / 〈風・波などが〉すすり泣くような音を出す / …‘を'すすり泣きながら話す《+『out』+『名』,+『名』+『out』》 / 《副詞[句]を伴って》すすり泣いて…‘を'(ある状態に)する / 『すすり泣き』 
sod	 〈U〉芝地 / 〈C〉(移植用に根をつけて四角か長方形に切り取った)芝土 / …‘を'芝でおおう 
sol	 ソ(全音階の第5音) 
son	 『息子』・《複数形で》(男子の)子孫・《文》《比喩(ひゆ)的に》(場所・主義などの)子,後継者・《年長者が年少者に呼び掛けて》・お前さん・《the S-》イエスキリスト 
sop	 (ミルク・肉汁などに浸して食べる)食物片,(特に)パン切れ / きげんをとるために与えるもの,わいろ,鼻薬 / (ミルクなどに)〈パン切れなど〉‘を'浸す《+『名』+『in』+『名』》 / 〈液体〉‘を'吸い取る《+『up』+『名,』+『名』+『up』》 / …‘を'びしょぬれにする 
sot	 大酒飲み,のんだくれ 
sou	 スー(フランスの5サンチームまたは10サンチーム銅貨) / つまらないもの
sow	 …‘の'『種をまく』 / (…の種を)〈土地〉‘に'『まく』《+『名』+『with』+『名』》 / 〈うわさ・紛争など〉‘の'『種をまく』 / 〈自〉種をまく
sox	 sockの複数形 
soy	 〈U〉しょうゆ / =soybean
spa	 鉱泉,温泉 / 温泉場
spy	 『スパイ』,諜報員 / 『探偵』(たんてい),密偵 / (敵意をもって)(…を)『ひそかに見張る』(探る)《『+on』(『upon』)+『名』》 / (…について)調査する,せんさくする《+『into』+『名』》 / …‘を'見つけ出す,探り出す《『out』+『名』,+『名』+『out』》 
sty	 豚小屋(=pigsty) / 汚い(不潔な)場所
sub	 =submarine / (おもにスポーツで)=substitute / =subordinate / 《英》=sublieutenant / =subeditor / 《英》給料の前払い分 / (…の)代役を勤める,代りとなる《+for+名》 / 《英》給料を前借り(前貸し)する / 〈給料〉‘を'前借り(前貸し)する 
sue	 (…の件で)〈人など〉‘を'告訴する,訴える《+名〈人〉+for+名》 / (…の件で)告訴する,訴える《+for+名》 / (…を)請う,請求する,懇願する《+for+名》 
sum	 〈C〉《the sum》(数・量の)『合形』,総計(sum total)《+of+名》 / 〈U〉《時に a sum》(抽象的なことの)全体《+of+名》 / 〈C〉《形容詞をつけて》(…の)『額』《+of+名》 / 〈C〉《話》算数,算数の問題 / 〈U〉《the sum》(…の)要約,要旨《+of+名》 / …‘を'『合計する』《+up+名,+名+up》 / 合計して…になる《+up to+名》 
sun	 《the~》『太陽』,日 / 〈U〉《the~》『日光』 / 〈C〉恒星 / 〈自分〉‘を'日光にさらす / 日光浴をする 
sup	 (…を)夕食にとる《+on(off)+名》 
tab	 (開けるたれの)つまみ;(持つ・つるすための)ひもの輪;(区別するための)付け札,ラベル / (衣服につける装飾用の)ひも,輪,垂れ飾り;(靴の)舌革など / 《話》(食事などの)勘定;つけ 
tad	 (特に)(男の)ちびっ子 
tag	 (名前・番号・定価などを記した)札,下げ札,荷札 / (服などの)切れて垂れ下がった端;(靴ひもなどの)先金 / (特にラテン語引用句の)きまり文句 / =question tag / …‘に'下げ札をつける / (…に)…‘を'つける,加える《+名+on(to)+名》 / 〈人〉‘に'(…の)レッテルをはる《+名+as+名(形)》 / 人の後にくっついて行く《+along》;(人の)すぐ後について行く《+after(behind)+名》
tam	 =tam-o'-shanter　タモシャンター　てっぺんに毛糸の玉房のついたウール製の大きなベレー帽 
tan	 〈皮〉‘を'『なめす』(生皮を皮革に変えること) / 〈皮膚〉‘を'『日焼けさせる』 / 《話》…‘を'ひっぱたく / 日焼けする / 〈U〉黄褐色 / 〈C〉日焼けした色 / 〈U〉タンニン(tannin) / 褐色の
tap	 …‘の'(…を)『軽く打つ』;(…に)…‘を'トントン(コツコツ)と打ちつける《+名+on+名》 / …‘を'トントン(コツコツ)とたたいて作る《+out+名,+名+out》 / (…を)『軽く打つ』,トントンたたく《+on+名》 / 『軽く打つこと』;(…を)トントン(コツコツ)と打つ音《+on+名》 / (靴の裏の)張り替え革;(タップダンス用に)つま先やかかとに付けた金具 / 《複数形で》(米軍隊の)消灯ラッパ
tar	 タール(石炭・木材を乾留するとできる黒い溶液で,coal tarはこの一種) / …‘に'タールを塗る
tau	 タウ(ギリシア語アルファベットの第19字Τ,τ;英語のT,tに相当) 
taw	 はじき玉,びー玉 / (はじき玉遊びの)基線
tax	 〈C〉〈U〉(…に対する)税,税金《+on(upon)+名》 / 〈C〉《単数形で》(…にとっての)『重荷』,過酷な要求《+on(upon)+名》 / 〈物品・人〉‘に'『課税する』,税金をかける / …‘に'『重荷を負わせる,』負担をかける / (…の理由で)〈人〉‘を'責める《名〈人)+with+名(doing)》 
tea	 〈U〉『茶』,(特に)紅茶 / 〈U〉(乾燥した)茶の葉;茶の木 / 〈U〉茶に似た飲料,煎じ茶 / 〈C〉〈U〉『午後のお茶』 / 〈C〉〈U〉『お茶の会』(午後の軽食を出すパーティー) 
ten	 〈C〉(数の)『10』,10の記号(10,Xなど) / 〈U〉10時,10分;10歳 / 〈U〉《複数扱い》10人,10個 / 〈C〉10(10人,10個)一組のもの / 〈C〉(カードケームの)10の札 / 『10の』,10人の,10個の / 《補語にのみ用いて》10歳の(で) 
the	 《前述の名詞または文脈でそれと分かる名詞に付けて》『その』,あの,名の / 《唯一の事物に付けて》 / 《方角・自然現象に付けて》 / 《用具・楽器・特定の病気などに付けて》 / 《修飾吾[句]を伴う名詞に付けて》 / 《単数普通名詞に付けて》(1)《種族全体》…『というもの』 / 《複数名詞または集合名詞に付けて》 / 《単位》『…につき;…単位[で]』 / 《身体の一部に付けて,所有格に代わる》 / 《形容詞に付けて》 / 《固有名詞に付けて》 / 《強意用法に》『随一の』,典型的な / 《「the+比較級,the+比較級」の形で》『…すればするほどそれだけ』 / 《比較級の前に》(…につれて,のために)『それだけ』,ますます
tho	 though 
thy	 なんじの 
tic	 (眼・手足の)けいれん 
tie	 (縄・ひも・包帯などで…に)『…を縛る』,結わえる,縛り付ける《+名+up+(+up+名)+to+名+with+名》 / 〈ひも・ネクタイ・リボンなど〉‘を'『結ぶ』;〈衣類など〉‘の'ひもを結ぶ / 〈結び目・ちょう結びなど〉‘を'結んで作る / (仕事・時間・場所などに)〈人〉‘を'縛り付けたようにする,束縛する《+名+up(+up+名)+to(at)+名》 / (競技などで)〈相手・相手の得点・記録〉‘と'『同じになる』,タイになる / 〈同じ高さの2音符〉‘を'タイ(連結線)で結ぶ / 『結べる』,結び目を作る,縛られる / (…と)『同じになる』《+with+名》 / (縛るのに用いる)糸,ひも,綱 / 《しばしば複数形で》『つながり』,きずな,縁 / (また《おもに米》necktie)『ネクタイ』 / (競技・試合・投票などの)『同点』;引き分けの試合 / 《米》(鉄道の)まくら木《英》sleeper);(建築の)つなぎ材 / 《英》束縛するもの,じゃまもの,やっかいもの / (音譜の)連結線,タイ(同じ高さの2音を結んで,「切らずに奏せよ」の記号) 
tin	 {U}錫(金属元素;化学記号はSn) / {U}ブリキ(tin plate) / 《英》=can {名}2 / 錫製の;ブリキの / …‘に'錫めっきをする;…‘に'錫を張る(かぶせる) / 《英》=can {動}
tip	 (…の)『先』,はし,先端《+of+名》 / 『先端に付ける物(部分)』 / …‘に'先を付ける / …‘の'先をおおう(飾る)
toe	 『足の指』 / (靴・靴下などの)『つま先』 / (動物の)足指に相当する部分;ひずめの前部 / (形・位置・機能が)足指に似たもの / 〈靴・靴下など〉‘に'つま先を付ける / 〈くぎなど〉‘を'斜めに打ち込む / (斜めに打ち込んだくぎで)…‘を'締める,留める / つま先をある方向に向ける
tog	 着物,衣服 / (…を)〈自分〉‘に'着せる《+oneself up(out)in+名》
tom	 (動物の)雄;(特に)雄猫 
ton	 (重量単位の)『トン』 / (容積単位の)トン(物によって異なり,木材では40立方フィート,小麦では20立方フィート) / 《話》大量(の…),多数(の…)《+of+名》 
top	 〈C〉《the ~》(…の)『いちばん上の部分』,最先端,頂上 / 〈C〉《the ~》(…の)『最上面』,表面《+of+名》 / 《the ~》(…の)『最高位』,『首位』;上座《+of+名》 / 《the ~》(…の)『最高の程度』,頂点《+of+名》 / 〈C〉《the ~》(びんなどの)ふた,栓;(車の)屋根[カバー],ほろ《+of+名》 / 〈C〉《複数形で》(根菜の)葉の部分《+of+名》 / 〈C〉(上下の服の)上 / 《通例名詞の前にのみ用いて》 / 『最も高い』,いちばんの / 『最上位の』,第一位(一級)の / 最高程度の / …‘に'『おおい(ふた)を付ける』 / …の頂上にある,頂上をおおう / …‘の'頂上に達する,‘を'登りきる / …‘を'しのぐ,‘に'まさる / <野菜・果実など>‘の'葉の部分を切る(刈り力む) / (ゴルフで)<球>‘の'上をたたく 
tor	 小さい岩山 
tow	 (ロープや鎖で)〈自動車など〉‘を'引く,引っ張って行く / 〈C〉引くこと;〈U〉引かれている状態 / 〈C〉引かれて行く車(船) 
toy	 『おもちゃ』,玩具 / 小さくてちゃちな物 / 《名詞の前にのみ用いて》 / おもちゃの,愛玩用の / (…を)いじくり回す,もてあそぶ《+with+名(doing)》 
try	 …‘に'『努力する』,‘を'努める / …‘を'『試す』,してみる,使って(食べて,飲んで)みる / 〈戸・窓など〉‘を'開けようとする / 〈人〉‘を'『裁く』;〈事件〉‘を'『裁判する』 / 〈人〉‘を'つらい目に会わせる,悩ます / …‘を'酷使する,疲れさせる / 『試みる』,やってみる,努力する / 試し,試み;努力 / (ラグビーの)トライ 
tsp	 teaspoon / teaspoonful
tub	 『おけ』,たらい / 《話》'bath 2 / (また tubful)おけ1杯[の量](の…)《+of+名》 / 《話》のろくてぶかっこうな船;《俗》でぶ,太っちょ
tug	 (…を)『ぐいと引く』,強く引っ張る / 《副詞[句]を伴って》…‘を'引きずって行く / 〈船〉‘を'引き船で引く / (…を)『ぐいと引く』,ぐっと引っ張る《+at+名》 / ぐいと引くこと / =tugboat
tun	 (特にワイン・ビールなどの)大だる / タン(巻体,特にワイン・ビールなどの容量単位;通例252ガロン)
tup	 雄羊 
tux	 =tuxedo 
two	 〈C〉(数の)『2』,2の記号 / 〈U〉2時,2分;2歳 / 《複数扱い》二人;2個 / 〈C〉二つ(二人,2個)1組のもの / 〈C〉(カードゲーム)2の札,(さいころの)2の目 / 2の;二人の;二つの,2個の / 《補語にのみ用いて》2歳の(で) 
ugh	 うふ,うっ,あっ(嫌悪.不満.恐怖などを表す声) 
ult	 ultimate / ultimately / (また ult,ulto,) 
urb	 (隣接の郊外住宅地に対しての)市街地域 
urn	 つぼ,(特に)骨つぼ / (大型の)コーヒー(紅茶)沸かし
use	 〈道具など〉‘を'『使う』,用いる / …‘を'『費す』,消費する / 《副詞[句]を伴って》〈人など〉‘を'『扱う』 / …‘を'自分の都合のいいように合用する / 〈U〉『使用』,利用 / 〈U〉『役に立つこと』,効用,利益(usefulness) / 〈U〉使う必要(場合),使用する機会,入り用 / 〈C〉〈U〉使用の目的,用途 / 〈U〉使用する権利 / 〈U〉使い方 / 〈U〉(身体などを)使う能力 
van	 有蓋トラック,ほろつきトラック(家具・商品・家畜などの運搬用に使われる) / 《英》=boxcar
vat	 (醸造・染色などで使う液体貯蔵用の)大おけ,大だる 
veg	 野菜,野菜料理 
vet	 =veterinarian / <動物>‘を'診療する / 《話》<人>‘を'診療する / 《話》<人・物>‘を'注意深く調へる
vex	 <人>‘を'『いらいらさせる』,怒らせる;悩ませる 
via	 『…経由で』で,を経て / …によって
vie	 争う,張り合う,競争する《vie in+名(doing)…を競い合う》 
vim	 読力,活力,元気 
von	 …から(from),…の(of) 
vow	 『誓い』,誓約 / …‘を'『誓う』,誓約する
wad	 (綿・紙・毛など柔らかいものの)塊《+of+名》 / 《話》(紙などのぎっしり束ねた)束,(特に)札束 / 《俗》大量(の…),多額(の…)《+of+名》 / …‘を'小さく丸める《+up+名,+名+up》 / (…で)…‘を'ふさぐ《+名+with+名》 
wag	 〈頭・尾など〉‘を'『振る』,揺り動かす / 〈頭・尾などが〉振れる,揺れ動く;(おしゃべりで)〈舌が〉ぺらぺら動く / (…を)振ること《+of+名》 
wan	 (顔が)青白い,青ざめた / 弱々しい,病弱な
war	 〈U〉『戦争』,戦争状態;交戦期間;〈C〉(個々の)戦争 / 〈U〉(ある特定の目的のための)『争い』,戦い,闘争;〈C〉(個々の)争い / (…と)戦争をする,戦う,争う《+with(against)+名》 
was	 語義 
wax	 『ろう』(ミツバチが巣を作るために用いる beeswax,その他の動物性,植物性・鉱物性ろうの総称) / 耳あか(earwax) / (床・家具・自動車などをみがく)『ワックス』 / …‘を'ワックスでみがく;…‘に'ろうを塗る
way	 〈C〉(…へ向かう)『道』,通り道;(…への)道筋《+to+名》 / 〈C〉『方向』,方角 / 〈U〉道を進むこと,進行,前進 / 〈U〉《しばしば a way》距離,道程 / 〈U〉《しばしば形容詞とともに》『やり方』,方法,手段 / 〈C〉特有なやり方,流儀,癖 / 〈U〉《しばしば複数形で》《単数扱い》習慣,風習,しきたり / 〈C〉《in…way[s]の形で》(…の)点(箇所)で / 〈U〉《しばしば a way》(特に健康の)ぐあい,様子 / 〈C〉経験の及ぶ範囲;人生(行動,経験)の道 / 通行権(the right of way) 
web	 (クモなどが紡ぎ出す)『巣』 / (クモの巣のような)網状組織;(張りめぐらした)仕掛け / (製織中の)織物 / (アヒルなど水鳥の)水かき / (輪転機の)巻取り紙 
wed	 …‘と'結婚する,‘を'妻(夫)にする / 結婚する
wen	 (特に頭部の)こぶ,はれもの 
wet	 『ぬれた』,湿った,乾いていない / 『雨でぬれた』;雨降りの / 《米》非(反)禁酒主義の / 《英話》《軽べつして》(人が)気が弱い,湿っぽい,からっとしていない / 《the wet》(特に雨後の)湿った地面 / 《the wet》『雨』;雨天 / 《しばしば a wet》《英俗》『酒』 / …‘を'『ぬらす』,湿らせる
who	 《疑問代名詞》『だれが』,どんな人が / 《関係代名詞》(先行詞は「人」) / 《制限用法》(…する,…した)『ところの』 / 《非制限用法》『そしてその人は(を)』,それは…する(した)人だが / 《古》《先行詞を含んで》…する人[はだれでも] 
why	 《疑問副詞》 / 『なぜ』どうして,何のために / 《関係副詞》『[なぜ]…するのか[南由]』 / 理由,原因,動機 / 《驚き・意外》『おや』,まあ,これは / 《焦り》うーん,困った / 《熟考・反省》えーっと,そうね / 《反ばく・応酬》でも,だって / 《当然の気持》なんだ[そんなこと],そりゃもちろん 
wig	 かつら(はげ隠し用・舞台用;英国では法官用;17~8世紀には一般に男子が用いた) 
win	 (競争・競技などで)(…に)『勝つ』,優勝する《+at(in)+名》 / (…に対して)勝つ,勝利を得る《+against(over)+名》 / 〈戦争・競技など〉‘に'『勝つ』 / 〈賞・名声など〉‘を'『勝ち取る』,(努力して)獲得する / 〈人〉‘を'説得する,味方につける,の支持を得る / 《文》〈目標など〉‘に'到達する / (特にスポーツで)勝利,勝ち 
wit	 知る(know) 
woe	 〈U〉深い悲しみ,悲哀,苦悩 / 《複数形で》災難,苦難,難儀
wog	 《禁句》(特に黒色人種の)外国人,異人;くろんぼ 
wok	 中華なべ(中国料理で使う丸底の深いなべ) 
won	 win の過去・過去分詞 
wop	 《禁句》 / 外人としてのイタリア人,イタリア系外人
wot	 (wit の一人称および三人称単数現在形)(…を)知る《+『of』+『名』》 
wpm	 words per minute 1分間当たりのタイプ打字数 
wpn	 weapon 
wry	 (表情が)ゆがんだ,ねじれた / 皮肉で(しんらつで,ひねくれて)おかしい
yah	 やあい(あざけり・軽べつを示す) 
yak	 ヤク(チベット・中央アジアの荷物運搬用の毛の長い牛) 
yam	 ヤム(熱帯産のつる植物);その根(食用) / 《米》サツマイモ
yap	 〈犬が〉やかましくほえる / 《俗》うるさくしゃべる《+on(away)》 / 〈C〉(犬の)やかましいほえ声 / 〈U〉《俗》やかましいおしゃべり
yaw	 〈船・飛行機などが〉針路からそれる / 船首揺れ,(飛行機・ロケット・ミサイルなどの)偏揺れ / 偏揺れ角度 
yea	 はい,さよう,しかり / 全く,実に,げに / 賛成,背定,賛成の返事,賛成投票[者] 
yen	 『円』(日本の通貨単使;《略》\) 
yep	 うん(yes) 
yes	 《問いに答えて》 / 《肯定の問いに》『はい』,そうです / 《否定の問いに》いいえ,違います / 《呼びかけに答えて》はい / 《相手に同意を示して》そうです,そうだ / 《自分の言うことを強めて,しばしば yes, and(or)…の形で》いやそのうえ,しかも / 《普通疑問の上昇調で》 / 《相手の話の先を促して》そう,そうですか,それから / 《相手の言葉に疑いを含めて》まさか,ほんとうですか / 《待っている人などに対して》でご用は,でお話は / 《自分の述べた言葉のあとで》ね,分かるかね,いいかね / “yes"という言葉(返事);賛成意見,賛成投票[者] / 「はい」と言う,承諾する 
yet	 《否定文で》『まだ』 / 《疑問文で》『もう』 / 《進行・継続を表す動詞と共に》『まだ』,今なお / 《比較級を強めて》なおいっそう,その上さらに(still) / 《通例and, butと共に》それにもかかわらず,ではあるが / 『それにもかかわらず』,ではあるが,がしかし
yew	 〈C〉イチイ(垣根・庭木などにする常緑樹) / 〈U〉イチイ材(昔,弓矢を作るのに用いた)
yid	 ユダヤ人 
yin	 (中国思想の)陰 
yip	 〈小犬などが〉キャンキャンほえる / キャンキャンほえる声[擬声語]
yon	 =yonder 
you	 『あなた[がた]は(を)』,君[たち]は(を) / 《命令文》君[たち],皆さん / 《呼び掛け》君[たち],おまえ[たち] / 《一般に人を指して》人は(を)
zap	 (特にすばやく)…‘を'殺す,撃つ,滅ぼす / すばやく動く / 活力,活気;攻撃 
zed	 =zee 
zip	 〈U〉(弾丸が飛ぶときまたは布地の裂けるときの)ビュッという音 / 〈U〉《話》元気,力 / 〈C〉《英》(また zip fastener)=zipper / ビュッと音を立てる(音を立てて飛ぶ) / 《話》勢いよくやる(進む) / …‘を'チャックで締める(あける)
