would	 《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
fruit	 〈U〉〈C〉『果物』,(植物の)実,果実 / 《複数形で》『農作物』(果物・穀物・野菜など) / 〈U〉〈C〉《しばしば複数形で》『成果』,結果 / 実を結ぶ
guilt	 『有罪』;『罪』;犯罪[行為] / 罪の意識,やましさ
yield	 …‘を'『産出する』,生ずる(produce);〈利益など〉‘を'生む / (圧迫・強制などによって)(…に)…‘を'『明け渡す』,放棄する《+up+名(+名+up)+to+名》 / …‘を'譲る,与える / 〈自分〉‘の'身を任せる / 〈土地が〉『作物がてきてる』 / (…に)『屈する』,負ける,従う;(…に)応ずる,譲歩する《+to+名》 / (圧力・力などによって)動く,開く,曲がる,へこむ,壊れる《+to+名》 / 〈U〉〈C〉産出[高],収穫[高]
dozen	 『ダース』,12個の組(《略》『doz.,dz.』) 
strip	 …‘を'『裸にする』;(…を)…からはぎ取って裸にする《+名+of+名》 / (…から)…‘を'『取り去る』,はぎ取る《+名+off(+off+名)+from+名》 / (権利・栄誉・持と物などを)〈人など〉‘から'『奪う』,剥奪する《+名〈人〉+of+名》 / 〈ボルト・ギア・ねじなど〉‘の'ねじ山をすり減らす / 服を脱ぐ,裸になる《+off》 
shock	 〈C〉(衝突・爆発などの)『衝撃』,(地震の)震動,電撃 / 〈C〉〈U〉(精神的)『打撃』,ショック / 〈U〉ショック症 / 《しばしば受動態で》〈人〉‘を'『ぎょっとさせる』,ひどく驚かせる / (治療のため)〈人・動物〉‘に'電気ショクを与える 
angle	 『かど』,すみ(corner) / 『角』,角度 / 《話》(ものを見る)角度,観点(point of view) / …'を'ある角度に動かす(向ける,曲げる) / …'を'ある角度から見る 
proud	 (人が)『得意な,誇らしげな』 / (人が)『誇りを持った』,自尊心のある / (人が)高慢な,威張った / 《名詞の前にのみ用いて》(物事が)誇るに足る,みごとな
chain	 『鎖』;(装飾用の)鎖 / 《複数形で》『束縛』,拘束;囚人をつなぐ鎖 / (物事の)『連続』,つながり《+『of』+『名』》 / (商店・銀行・ホテルなどの)チェーン(一連の店が同一資本のもとで連携して経営される方式;その店) / チェーン(測量で用いられる単位;約21.7m) / …'を'『鎖でつなぐ』《+『up』(『together』)+『名,』+『名』+『up』(『together』)》
slide	 『滑る』,滑って進む《+『on』(『down』)+『名』》 / (ある場所から)(バランスを崩して)〈人が〉『つるりと滑る』,〈物が〉するっと動く《+『from』(『out of』)+『名』》・(ある状態・習慣などに)いつの間にか陥る《+『into』+『名』》・〈時が〉いつの間にか過ぎ去る《+『by』(『past』)》・(…に,…から)(滑るように)そっと動く,人目に立たないように動く《+『into』(『out of』,『from』)+『名』(do『ing』)》・(野球で,走者がタッチを避けようとして,ベースに)滑り込む《+『in』(『into』)+『名』》・《副詞[句]を伴って》…‘を'滑らせる / (…に)…‘を'そっと入れる,滑り込ませる《+『名』+『into』(『under』)+『名』》 / 落ちること,下落 / 滑ること,ひと滑り・滑る面;滑り台・(写真の)スライド・(顕微鏡の)スライド,検鏡板・《複合語を作って》「地滑り,なだれ」の意を表す 
joint	 『関節』 / 『継ぎ目』,接合箇所,合わせ目 / 継ぎ目と継ぎ目の間の部分,節 / (二つの部分を継いだり支えたりするのに用いる)継ぎ手,ジョイント / (枝や葉の)つけ根,節 / (骨付きの)肉の大切り身 / 《俗》安酒場,とばく宿,アヘン窟(くつ) / 『共同の』,共有の;連帯の,連合の / 両院合同の;二院制議会の両院の / …‘を'継ぎ合わせる;…‘を'継ぎ目(関節)でつなぐ / …‘を'継ぎ目で分ける;〈鳥・肉など〉‘を'関節で切り分ける 
uncle	 『おじ』 / おばの夫 / 《話》(年輩者に)おじさん,おっさん 
track	 《しばしば複数形で》(車・船などの)『通った跡』,(人・動物の)『足跡』 / (人・獣などが通ってできた)『小道』 / 進路,航路 / (行動において)採るべき道,方針,人生航路 / 線路 / (競走のために設けられた)走走路,トラック;《集合的に》トラック競技 / (録音テープの)音帯 / …‘の'『跡をつける』,〈足跡〉‘を'たどる;〈動物〉‘の'臭跡を追う / 〈記録計の針が〉…の進路(軌道)を観察記録する;〈カメラが〉〈被写体〉‘を'追いかけて写す / 〈泥・雨など〉‘の'跡を付ける;〈床など〉‘に'足跡を付ける《+up+名,+名+up》
chest	 (ふた付きのじょうぶな)『大箱』,ひつ / 《米》たんす(=chest of drawers) / (…の)たんすいっぱい《+『of』+『名』》 / 『胸[部]』,肺
march	 《方向・状態を表す副詞[句]を伴って》 / (歩調をそろえて)『行進する』,行軍する / 〈人が〉堂々と(ゆうゆうと)歩く / 〈事件などが〉進展する,進む / 《方向・状態を表す副詞[句]を伴って》 / …‘を'行進(行軍)させる / 〈人〉‘を'急いで連れて行く,追い立てる / 〈U〉『行進』,進軍;〈C〉行進距離;行軍行程 / 〈U〉《the march》(事件などの)『進展』,進行 / 〈U〉(兵隊の)行進歩調 / 〈C〉『マーチ』,『行進曲』 
alive	 『生きている』(living) / 《しばしば最上級の形容詞と共に》現存している / 活動している,有効である(active) / 生き生きした,活発な
pause	 『小休止』,中断,休息;(会話,読み書きの間に入れる)一息,一区切り / (音楽の)延音記号,フェルマータ / (一時的に)『ちょっと休止する』,立ち止まる;(…するのを)ちょっとやめる / (…の所で)停滞する,ちゅうちょする《+『of』(『upon』)+『名』》
tough	 (物が)『じょうぶな』 / (肉などが)『堅い』 / (体が)『屈強な』,じょうぶな,(人が)粘り強い,タフな / (法などが)融通のきかない,(人・意志が)がんこな / 『骨の切れる』,やっかいな / 《米》粗暴な / 《話》不幸な,不運な,つらい / よた者,ごろつき,無法者
charm	 〈U〉〈C〉(人の心を引きつける)『魅力』;《複数形で》女の魅力 / 〈C〉(…よけの)『まじない』,じゅ文,お守り《+『against』+『名』》 / 〈C〉(時計の鎖などにつける)小さな飾り物 / 《しばしば受動態で》…'を'『魅哀する』,うっとりさせる(fascinate),喜ばせる / …‘に'魔法をかける(bewitch);…'を'魔法をかけたようにする 
spite	 悪意,意地悪 / 《a ~》(…への)恨み《+『against』(『at』)+『名』》 / 〈人〉‘に'意地悪をする,‘を'困らせる 
noise	 〈C〉〈U〉(特に,大きなまたは不快な)『音』,物音 / 〈C〉〈U〉(街・往来などの)『ざわめき』,騒音,騒々しい声 / 〈C〉(一般に)物音 / 〈U〉(ラジオ・テレビなどの)ノイズ,雑音 / …‘を'広める,言い触らす《+『名』+『about』(『abroad, around』)》 / 音を立てる;大声で話す《+『about』(『around, abroad』)》
flash	 (花・炎などの)『ひらめき』,ぴかっと(ぱっと,ちらっと)光ること;閃光(せんこう)《+『of』+『名』》 / (機知などの)『ひらめき』;(喜びなどが)急にわいてくること《+『of』+『名』》 / (写真の)フラッシュ / 瞬間 / ニュース速報,特報 / 『ぱっと光る』,(反射して)きらめく / 〈目などが〉きらりと(ぎらっと)光る / (心に)〈言葉・考えなどが〉『ひらめく』《+『through』(『into, across』)+『名』》 / 《副詞[句]を伴って》〈人・車などが〉さっと通り過ぎる / …‘を'ぱっと照らす;〈火・光〉‘を'ぱっと発する / …‘を'ちらり(ぴかり,ぎらり)とさせる / (…に)〈サイン・視線など〉‘を'すばやく送る,さっと送る《+『名』+『at』+『名』》 / (電信で)…‘を'急送する,速報する / 急で短い,瞬間的な / 《英話》(現代ふうで)気のきいた 
grace	 〈U〉(形・動作などの)『優雅さ』,洗練 / 〈U〉〈C〉食前(食後)の短い祈り / 〈U〉(…する)『思いやり』,親切《+『to』do》 / 〈U〉(神の)恩ちょう,恵み / 〈U〉恩恵,恩典;猶予,(特に負債などの)支払い猶予 / 《複数形で》(人の)美点,長所,魅力 / 〈C〉《G-》《Your,His,Herを伴って》閣下,閣下夫人 / 《the Graces》(ギリシア神話の)美の三女神 / …‘を'優雅にする,美しく飾る 
flesh	 (人間・動物の)『肉』 / (魚,時には鳥を除く)食肉(meat) / 肉付き,太りぐあい / (くだもの)果肉;(野菜の)葉肉 / 《the~》(精神・魂に対して)『肉体』,身体 / 《the~》肉欲 / 肉色(ピンクがかった肌色) 
angry	 『おこった』,腹を立てた / (海・波・風などが)おこったような,激しい / (傷が)炎症を起こした 
shade	 〈U〉(光がさえぎられてできる)『陰』;《the ~》日陰 / 《複数形で》《文》夕やみ,夜陰 / 〈C〉『光をさえぎる(和らげる)もの』;日よけ,ブラインド;(電灯などの)かさ / 〈C〉色の明暗の度合い,(濃淡の)色合い / 〈U〉(絵画などの)暗部,陰影 / 《a ~》ほんの少し,ごくわずか(の…)《+『of』+『名』》 / 〈C〉(意味などの)微妙な差,ニュアンス《+『of』+『名』》 / 〈C〉《文》亡霊,幽霊 / 《the shades》《文》死の世界,よみの国 / 《複数形で》《話》サングラス / (光・熱などから)…‘を'陰にする,‘に'陰を作る / 〈絵〉‘に'明暗(濃淡)をつける / 〈色などが〉徐々に(…に)変わる→+『away』(off)『into』+『名』》 
solve	 〈問題など〉‘を'『解く』,解明する,解決する 
grave	 『墓穴』;(一般に)埋葬所,墓 / 《しばしばthe grave》死(death);滅亡
wound	 windの過去・過去分詞 
extra	 『余分の』(additional);『臨時の』,特別の,割増しの / 『付属するもの』(別売りの不属品など) / (新聞の)告外《+『to』+『名』》 / 割増し料金 / (映画の)エキストラ / 余分に / 異常に,特別に 
crime	 〈C〉(事律上の)『犯罪』,罪 / 〈U〉(一般に)犯罪[行為] / 〈C〉《a~》『よくない行為』,ばかげた行為 
anger	 『怒り』,立腹 / …'を'おこらせる(make angry) / おこる(become angry) 
stair	 〈C〉(階段の一つの)『段』 / 《複数形で》『階段』
delay	 …'を'『延期する』,延ばす / 〈事故などが〉…'を'『遅らせる』 / 『ぐずぐずする』,『手間取る』 / 『遅れ』,遅延 / 『延期』,猶予 
burst	 『破裂する』,爆発する / 〈つぼみが〉ほころびる / 《通例進行形で》(…で)はちきれそうにいっぱいである《+『with』+『名』》 / 『急に(…)する』 / …'を'破裂させる,爆発させる,破る / (…の)『破裂』,爆発《+『of』+『名』》 / (…の)『突発』《+『of』+『名』》 
screw	 『ねじ』ねじくぎ,ねじボルト / ねじ(らせん)状のもの / (ねじの)ひとひねり,ひと回し / (またscrew propeller)(船などの)スクリュー / 《英俗》看守 / 《英俗》給料 / 《英俗》おいぼれ馬 / (…に)…‘を'『ねじでとめる』,ねじくぎ(ねじボルト)で取り付ける《+『down』(『up』)+『名』+『to』(into, on』)+『名』》 / (…に)〈ねじ・電球など〉‘を'回してはめる《+『名』+『on』(『into』)+『名』》 / (…から)…‘を'紋り取る,無理に取る《+『名』+『out of』+『名』》 / 《俗》《受動態で》…‘を'だます,だまし取る / 《俗》〈男が〉〈女〉‘と'性交をする / 〈物が〉(…に)ねじでとまる(つく)《+『to』(『into』)+『名』》 / 〈ねじ・電球などが〉(…に)回してはめこんである《+『into』+『名』》 / 《俗》性交する 
pride	 〈U〉『自尊心』,自尊 / 〈U〉『得意』,自慢,誇り / 〈U〉『高慢』,『うぬぼれ』,思い上がり / 〈C〉《単数形で》(…の)『自慢の種』,誇りにする物《+『of』+『名』》 / 〈C〉(特にライオン・クジャクの)群れ《+『of』+『名』》 / 《『pride』『oneself』『on』(『upon』)+『名』(do『ing』)》…‘を'自慢する
clerk	 (銀行・会社の)行員,社員;事務員 / (官庁の)『書記』,事務官,吏員;(教会の)書記 / 《米》『店員』,売り子(=salesclerk)(《英》shop assistant) / 事務員(書記など)として働く
grain	 〈C〉(穀類の)『粒』《+『of』+『名』》 / 〈U〉《集合的に》『穀物』,穀類 / 〈C〉(砂・塩などの)粒《+『of』+『名』》 / 〈C〉《おもに否定文で》『ごく少量』,ほんの少し(の…)《+『of』+『名』》 / 〈C〉グレーン(最小の重量単位で約0.0648グラム;《略》『gr.』,『g.』) / 〈U〉(木・石などの)きめ,はだ,木目(もくめ),石目
grand	 『壮大な』;豪壮な / 《名詞の前にのみ用いて》『威厳のある』,気高い / (順位などが)最高の / 重大な,重要な / 《名詞の前にのみ用いて》全体の,全部を合わせた(complete) / 《話》すてきな,すばらしい / 尊大な,うぬぼれた / =grand piano / 《米俗》1,000ドル 
plate	 〈C〉(通例各人用の丸い)『平皿』 / 〈C〉(料理の)『1皿』[『分』]《+『of』+『名』》 / 〈C〉料理の1人前 / 〈C〉(教会などの)献金皿 / 〈U〉《集合的に》(スプーン・皿など)金(銀)製の食器類 / 〈C〉(金属・ガラス・プラスチックなどの)平板,板金 / 〈C〉(金属・木などの)標札,ナンバープレート / 〈C〉金属(石,木)版画;(本文と別刷りの)図版 / 〈C〉(印刷方法の)電気版,ステロ版 / 〈C〉(写真の)感光板 / 〈C〉《the~》(野球の)本塁(home plate) / (…を)…‘に'めっきする《+『名』+『with』+『名』》 / (保護のために)…‘を'板金で覆う / (印刷で)…‘を'電気版(ステロ版)にする
royal	 《しばしばR-》『王の』,女王の,王室の / 王(女王)に属する,王(女王)に仕える / 王(女王)から与えられる / 王(女王)にふさわしい,威厳のある,壮麗な,堂々たる
habit	 〈C〉 / 〈U〉〈C〉(個人の)『習慣』;(動・植物の)習性 / 〈C〉(麻薬などの)常用癖 / 〈C〉(僧衣など,特殊な)衣服
cloth	 〈U〉『布』,生地,織物 / 〈C〉(特定の用途に応じる大きさの)『布地』;(特に)テーブル掛け(table cloth),ふきん(dishcloth),ぞうきん(duster) / 〈U〉布表紙,クロース / 〈U〉ラシャ / 〈C〉黒の聖服;《文》《the~》聖職 
blame	 〈事〉'を'『非難する』,とがめる;(…のことで)〈人〉'を'非難する《+『名』+『for』+『名』(do『ing』》 / (…に)〈罪など〉'を'なすりつける《+『名』+『on』+『名』》 / (罪・過失などに対する)『責任』(responsibility);責め,非難(censure)《+『for』+{名}(doing) 
glory	 〈U〉『光栄』,名誉 / 〈U〉『壮観』,荘厳,美観 / 〈U〉(神の)『賛美』 / 〈U〉『繁栄』,全盛,絶頂;大得意 / 〈C〉《しばしば複数形で》誇りとなるもの,みごとなもの / 〈U〉天国 / 《『glory in』+『名』(do『ing』)》(…を)喜ぶ;(…を)誇りする,得意がる 
nurse	 『看護人』,看護婦 / 子守(dry nurse) / 『乳母』(うば)(wet nurse) / ‘を'『看護する』,看病する / 〈幼児〉‘に'授乳する / 〈病気・けが〉‘を'治そうと努める / 《話》…‘を'注意して扱う,たいせつに扱う / …‘を'大事に育てる / (心に)〈ある感情〉‘を'いだく / 看護人(看護婦)として働く / 授乳する / 〈幼児が〉乳を飲む
storm	 『あらし』,暴風[雨],荒天 / (感情・言動などの)『あらし』,激発《+『of』+『名』》 / (一般に)激動,波乱,騒動 / (弾丸などが)雨あられと飛ぶこと《+『of』+『名』》 / 《itを主語にして》〈天候が〉『荒れる』 / 猛然と突進する;激しく怒る / …‘を'強襲する,急襲する 
bread	 『パン』,食パン / (生名の糧(かて)として必要な)食物一般…生計・金・銭
crash	 『ガラガラ』,『ドシン』(物が倒れたり砕けたりするときの音) / (飛行機の)『墜落』;(車の)『衝突』 / (事業・相場などの)崩壊,破産 / 『ガチャン』(『ドシン』,『ガラガラ』)『と大きな音をたてる』 / (…に)ガチャン(ドシン)と衝突する《+『into』(『against』)+『名』》 / 大きな音をたてて動く / 〈飛行機が〉墜落する / 〈事業などが〉つぶれる / (…にぶつけて)…'を'『ガチャン』(ドシン),『ガラガラ』)『と壊す』《+『名』+『against』(『into, to』)+『名』》 / 〈飛行機・車など〉'を'衝突させる / 《話》(またgatecrash)(招待状・切符なしで)…‘に'押し掛ける・もぐり込む / 応急の
actor	 (男の)『俳優』,『男優』 / 行為者
amuse	 (…で)〈人,自分自身〉'を'『楽しませる』,おかしがらせる《+『名』+『with』+『名』/+『名』+『by』 do『ing』》 
fault	 〈C〉『欠点』,短所(defect) / 〈C〉『誤り』,落ち度 / 〈U〉(過失の)『責任』,罪 / 〈C〉断層(地層の食い違い) / 〈C〉フォールト(テニスなどでサーブの失敗) / …‘の'あら捜しをする / あやまちを犯す / 断層を生じる
flame	 〈U〉〈C〉《しばしば複数形で》『炎』 / 〈U〉炎のような輝き;炎色 / 〈C〉《おもに文》(…の)(燃えるような)情熱,激情《+『of』+『名』》 / 『炎をあげて燃える』,燃えさかる《+『up』》 / (炎のように)照え映える《+『up』》 / 〈怒り・情熱などが〉燃え上がる;〈人が〉かっと怒り出す《+『out』(『up, forth』)》
shine	 『光る,輝く』,樋り / (…で)〈目・霞などが〉生き生きとする,明るく輝く《『with』+『名』》 / (…のことで)光る,きわだつ《+『in』+『名』》 / (…に)…‘の'『光を向ける』,(…を)…‘で'照らす《+『名』+『on』+『名』》 / 〈靴・銀器など〉‘を'『みがいて光らせる』 / 《時にa~》『光』,花き / 《しばしばa~》靴をみがくこと / 日光;好天気
cheap	 『値段が安い』,料金が安い,安く売る / 『安っぽい』,安物の,質の悪い,価値のない / 下品な,野卑な / 簡単に手に入る / 《おもに米》(人が)けちな,けちくさい(stingy) / 安く / 安っぽく 
ocean	 〈C〉『大洋』,大海 / 《the ~》五大洋の一つ / 《話》《an ~,または複数形で》ばく大(な…),広大(な…)《+『of』+『名』》 
prize	 『賞』,賞品,賞金,ほうび / (努力して手に入れる)『価値あるもの』,貴重なもの / 入賞した / 賞品の / 《話》《しばしば皮肉に》賞に値する / …‘を'高く評価する,重んずる
beard	 〈C〉(人の)『あごひげ』 / (動物の)あごひげ;(一般に)ひげ状のもの / …‘に'勇敢に立ち向かう 
devil	 『悪魔』,悪鬼;《the D-》魔王(Satan) / (悪魔のような)悪人,人非人;(…の)鬼,(悪徳の)権化(ごんげ)《+『of』+『名』》 / 精力家,腕のたっしゃな人 / やつ(fellow),男 / 《俗》《強意語として》 / 《疑問詞の後で》いったいぜんたい / 《強い否定》ぜったい…でない / (また『printer's devil』)印刷屋の使い走り,または見習いの少年 / 《米話》…‘を'いじめる,悩ませる / …‘を'辛く料理する
split	 …‘を'『縦に割る』,裂く / …‘を'分割する,ばらばらに分ける / 〈利益など〉‘を'『分配する』,分け合う;〈費用など〉‘を'分担する《+『up』+『名』,+『名』+『up』》 / 『割れる』,裂ける / 『壊れる』,砕ける,破裂する;(部分などに)分かれる,分裂する《+『up』》;(…と)けんかする《+『with』+『名』》 / (急いで)去る,帰る(leave);姿を消す / (…の)割れ(裂け)目;ひび《+『in』+『名』》 / 仲間割れ,分裂 / 分け前 / 《しばしば複数形で》(曲芸などの)大股(おおまた)開き / (ボーリングで)スプリット(残ったピンが離れていてスペア(spare)を取りにくい形になること) / 《話》(ソーダ・アルコール飲料などの)小びん / (縦に)裂けた,割れた / 分裂した,分割された
swear	 (神などにかけて)『誓う,』宣誓する / (宣誓して)(…を)『証言する』《+to+名(doing)》 / 『罰当たりな言葉を使う,』(…を)ののしる《+at+名》 / (神などにかけて)…を‘誓う,'誓って言う / 《話》《swear+that節》…だと断言する,主張する / (…を)〈人〉‘に'誓わせる,宣誓させる《+名+to+名(doing)》
sugar	 〈U〉砂糖 / 〈C〉(1個・さじ1杯の)砂糖 / 〈U〉庶糖 / 《話》(恋人に対して呼び掛けて)ねえ / …‘に'砂糖を混ぜる(かける);…‘に'砂糖を加えて甘くする 
faint	 (音・色・考えなどが)『かすかな』,ぼんやりした / (努力・行動などが)『弱々しい』,熱のない;気の弱い,勇気のない / 《補語にのみ用いて》(で)『気が遠くなって』目が回りそうで《+『with』(『from』)+『名』》 / (…で)『気が遠くなる』,気絶する《+『with』(『from』)+『名』》 / 気絶,失神 
noble	 高貴の;貴族の / 高潔な,気高い / (姿・規模などが)壮大な,堂々とした;すばらしい / (金属が)腐食しない / 《複数形で》(特に中世の)貴族 
slope	 『傾斜する』,坂になる / …‘を'傾斜させる,‘に'勾配をつける / 〈C〉『坂』,斜面,スロープ / 〈C〉〈U〉『勾配(こうばい)』,傾斜
spare	 …‘を'『容赦する』,‘の'命を助ける / 《『spare』+『名』〈人〉+『名』〈労苦〉》〈苦痛・苦労まど〉‘を'〈人〉‘に'させない / 《通例否定文で》〈時間・労力など〉‘を'『惜しむ』,控える / 〈労力・時間など〉‘を'『さく』,割愛する;…‘を'なしですませる / (ある日的のために)…‘を'取っておく,残しておく《+『名』+『for』+『名』》 / (物が)『予備の』;(時間・金が)余分の / (食事などが)質素な;乏しい / やせた(lean) / {名}予備の品(部品),スペア / (ボウリングで)2回の投球でピンを全部倒すこと
lunch	 〈U〉『昼食』 / 〈C〉〈U〉 / 『軽食』,弁当 / 昼食を食べる
sweat	 〈U〉『汗』 / 〈U〉(一般に,物の表面にできる)湿気,露,水滴 / 〈U〉《しばしばa ~》発汗[状態];〈C〉発汗作用 / 〈U〉《しばしばa ~》《話》心配(いらだち,怒り)の状態 / 〈U〉《しばしばa ~》骨折り,つらい労働 / 『汗をかく』 / (一般に,物の表面が)湿気を帯びる,汗をかく / 《話》汗水流して働く / 〈水分〉‘を'毛穴などから出す / …‘に'汗をかかせる / 〈体重など〉‘を'汗を流して減らす《+away(off)+名,+away(off)+名》 / …から水分を出させる / 〈人・馬など〉‘を'汗水流して働かせる,酷使する 
brave	 『勇敢な,勇ましい』 / 《文》はなやかな…みごとな / 勇士 / 北市インディアンの戦士 / 〈困難など〉‘に'勇敢に立ち向かう,〈危険〉'を'ものともしない 
curse	 …'を'『のろう』;(…のことで)…'を'『ののしる』,'を'悪口を言う《+『名』+『for』+『名』(do『ing』)》 / (宗教で)〈人〉'を'破門する / (人を)『ののしる』,(人に)悪態をつく《+『at』+『名』》 / 『のろい』 / 『のろいの言葉』(Damn!, Confound it!, Go to hell!など),悪態(Shit!など) / (…への)『たたり』;災いのもと,やっかいなもの《+『on』+『名』》
weigh	 …‘の'『重さを計る』 / 〈ある重さ〉‘を'『計量する』,計る / (…と比較して)…‘を'『検討する』,考慮する〈+名 against+名〉 / 『重さがある』,目方がかかる / (…にとって)『重要である』,(…に)重要糸される〈+with+名〉 
mercy	 〈U〉『慈悲』,寛大,あわれみ / 〈C〉《a~》ありがたいこと,感謝すべきこと
grind	 (粉などに)〈穀物など〉‘を'『ひく』,細かく砕く《+『名』+『into(to)』+『名』》 / (…から)〈粉など〉‘を'『ひいて作る』《+『名』+『from』+『名』》 / 〈ナイフなど〉‘を'研ぐ;〈レンズなど〉‘を'磨く / …‘を'『きしらせる』;(…に)…‘を'こすりつける《++『名』+『into』(『under』)+『名』》 / 〈人・圧制・貧困などが〉〈人・心など〉‘を'苦しめる,圧迫する《+『名』+『down,』+『down』+『名』》 / 〈回転式器具〉‘の'ハンドルを回す / 《話》(人の頭などに)〈学科など〉‘を'たたき込む,詰め込む《+『名』〈学科〉+『into』+『名』》(学科などで)〈人〉‘に'骨折って教え込む《+『名』〈人〉+『in』+『名』》 / 〈穀物などが〉(よく,細かく)ひける,粉になる / ギーギーすれ合う,きしる / 《米話》(…を)こつこつ勉強する(働く)《+『away at』(『for』)+『名』》 / 〈U〉粉にひくこと;研ぐこと / 〈U〉(コーヒーなどの)ひいた粒の大きさ / 〈C〉《話》つらくて退屈な勉強(仕事) / 〈C〉《米話》がり勉屋,がりがり仕事をする人
crown	 〈C〉(王位の象徴として国王・王妃などがかぶる)王冠・《the~,[the]C-》『王位』,統治権;君主,王,女王 / 〈C〉(古代・中世で国王などから優者に与えられる)(…の)花冠,頭飾り《+『of』+『名』》;(一般に勝利の栄冠 / 《the~》(…の)絶頂,極致,きわみ《+『of』+『名』》 / 〈C〉(頭・帽子・山・アーチなどの)最も高い部分,頂(いただき) / 〈C〉歯冠;人工歯冠 / 〈C〉《英》クラウン紙幣(英国の旧銀貨);(一般に)王冠をデザインに使った貨幣 / …‘の'頭に王冠をのせる,'を'王位につける / (栄冠・賞を)…‘に'授ける《+『名』+『with』+『名』》 / 〈物が〉…‘の'頂部[てっぺん]をおおっている / 《『crown』+『名』+『名』》(…として)…'を'認める / (…を)…‘に'歯冠をかぶせる《+『名』+『with』+『名』》 
haste	 『急ぎ』(hurry);『あわてること』,軽はずみ 
shirt	 (えり付きの男物)『シャツ』,ワイシャツ / 《米》(下着の)シャツ,はだ着(undershirt)
steam	 『蒸気』,湯気,水蒸気 / 蒸気の力 / 《話》力,精,力,元気 / …‘を'蒸気にさらす,蒸す / 『[水]蒸気を出す』,湯気をたてる《+『away』》 / 《副詞[句]を伴って》蒸気で動く / 《話》怒る,いきまく 
bound	 《副詞[句]を伴って》『はね上がる』,はね飛ぶ,はね返る / 〈心が〉おどる,わくわくする / 『はずみ』,はね返り;『跳躍』 
tower	 『塔』,タワー / (…の上に)ひときわ高くそびえる,(力・才能などが)ぬきんでている《+above(over)+名》
bathe	 《米》〈子供など〉'を'『入浴させる』(《英》bath) / …'を'『浸す』,『洗う』 / 〈汗・涙が〉…'を'ぬらす / 〈光などが〉…‘に'いっぱいに注ぐ,'を'包む / 《米》入浴する《英》bath) / 《おもに英》水泳する / 《英語》(海・川での)水泳 
lodge	 (特に狩猟・登山などで用いる)『小屋』,『ロッジ』 / (公園・大きな建物などの入口にある守衛所),門衛所 / (共済組合・秘密結社などの)支部,支部集会所 / アメリカインディアンの小屋 / (動物,特にビーバーの住む)穴 / (一時的に,臨時に)〈人〉‘を'『泊める』 / 〈人〉‘を'『下宿させる』 / (当局などに)〈苦情など〉‘を'正式に申し出る《+『名』+『with』+『名』》 / (…に)〈弾丸など〉‘を'打ち込む《+『名』+『in』+『名』》 / (一時的に,臨時に)『泊まる』 / (…に)『下宿する』,間借りする《+『at』+『名』〈場所〉/『with』+『名』〈人〉》 / (…に)〈弾丸などが〉入ってとどまる,〈矢などが〉突きささる《+『in』+『名』》
organ	 『オルガン』,パイプオルガン(pipe organ),リードオルガン(reed organ),電子オルガン(electronic organ),手回しオルガン(barrel organ) / (動植物の)『器官』 / (政党・会社などの)機関誌,機関紙 / 《しばしば複数形で》(行動・実施などの)組織,機関
blade	 (刀・ナイフ・のこぎり・かみそりなどの)『刃』,刀身 / 刀,剣 / (特にイネ科植物の)葉,葉身 / (一寮に)薄く平べったい部分 / (アイススケート靴の)金属のすべり 
trick	 『芸当』,妙技;手品,奇術 / (物事をする)秘けつ,こつ,技,巧みなやり方《+of+名(doing)》・(相手を欺こうとする)『たくらみ』,策略,ごまかし・(特に視覚・聴覚などを欺く) 幻影, 幻覚 / 『いたずら』,悪さ,悪ふざけ・卑劣な(ばかげた,幼稚な)行為 / (態度・言葉などの)癖,習慣《+of+名(doing)・(カードゲームの)トリック(一巡に打ち出された札;通例4枚で得点の基礎となる) ・(船員などの)一交替勤務時間・芸当(曲芸,奇術)の;(映画などの)トリックの・錯覚を起こす,迷わせる・芸当(曲芸,奇術)に用いられる・(体など)よく動かない・〈人〉‘を'『だます』,欺く;〈人〉‘に'手品のトリックを仕掛ける・売春婦のひと仕事・売春婦から見た「客」
shame	 〈U〉『恥ずかしさ』,羞恥(しゅうち)心 / 〈U〉『恥』,恥辱,不名誉 / 〈C〉《単数形で》《話》『恥になる人』(『物』,『事』),面汚し,名折れ / 〈C〉《単数形で》残念なこと,遺憾なこと / 〈人〉‘を'『恥じさせる』,赤面させる / 〈人〉‘の'不名誉になる,面目をつぶす
